ID,AREA,CAMPO_FORMACION,NIVEL,ALCALDIA,INSCRITOS,EGRESADOS,GRADUADOS,CAMPO_ABREV
1721,,Especialidad,Especialidad,CDMX,22195,4825,7635,Especialidad CDMX
1722,,Maestria,Maestria,CDMX,36808,8796,9871,Maestria CDMX
1723,,Doctorado,Doctorado,CDMX,11341,1018,1747,Doctorado CDMX
1211,Area 4,Artes y humanidades,Especialidad,AOB,10,16,0,Artes y humanidades AOB
1212,Area 3,Ciencias sociales y derecho ,Especialidad,AOB,217,126,94,Ciencias sociales y derecho AOB
1213,Area 1,"Ingenieria, manufactura y construccion ",Especialidad,AOB,5,6,0,"Ingenieria, manufactura y construccion AOB"
1214,Area 2,Salud,Especialidad,AOB,131,53,37,Salud AOB
91221,Area 4,Artes y humanidades,Maestria,AOB,233,40,51,Artes y humanidades AOB
1222,Area 3,Ciencias sociales y derecho,Maestria,AOB,2010,514,506,Ciencias sociales y derecho AOB
1223,Area 4,Educacion,Maestria,AOB,110,8,26,Educacion AOB
1224,Area 1,"Ingenieria, manufactura y construccion",Maestria,AOB,102,21,12,"Ingenieria, manufactura y construccion AOB"
1225,Area 3,Servicios,Maestria,AOB,95,0,0,Servicios AOB
1226,Area 2,Salud,Maestria,AOB,26,8,3,Salud AOB
1231,Area 4,Artes y humanidades,Doctorado,AOB,105,8,11,Artes y humanidades AOB
1232,Area 3,Ciencias sociales y derecho,Doctorado,AOB,218,47,17,Ciencias sociales y derecho AOB
1233,Area 4,Educacion,Doctorado,AOB,15,4,1,Educacion AOB
1234,Area 1,"Ingenieria, manufactura y construccion",Doctorado,AOB,20,3,2,"Ingenieria, manufactura y construccion AOB"
2211,Area 4,Artes y humanidades,Especialidad,AZC,43,15,16,Artes y humanidades AZC
2212,Area 3,Ciencias sociales y derecho,Especialidad,AZC,87,62,40,Ciencias sociales y derecho AZC
2213,Area 1,"Ingenieria, manufactura y construccion",Especialidad,AZC,20,10,7,"Ingenieria, manufactura y construccion AZC"
2221,Area 4,Artes y humanidades,Maestria,AZC,112,12,12,Artes y humanidades AZC
2222,Area 1,"Ciencias naturales, matematicas y Estadistica",Maestria,AZC,27,3,7,"Ciencias naturales, matematicas y Estadistica AZC"
2223,Area 3,Ciencias sociales y derecho,Maestria,AZC,1239,667,478,Ciencias sociales y derecho AZC
2224,Area 1,"Ingenieria, manufactura y construccion",Maestria,AZC,408,120,111,"Ingenieria, manufactura y construccion AZC"
2231,Area 4,Artes y humanidades,Doctorado,AZC,18,6,7,Artes y humanidades AZC
2232,Area 3,Ciencias sociales y derecho,Doctorado,AZC,75,2,2,Ciencias sociales y derecho AZC
2233,Area 1,"Ingenieria, manufactura y construccion",Doctorado,AZC,133,13,7,"Ingenieria, manufactura y construccion AZC"
3211,Area 4,Artes y humanidades,Especialidad,BJU,15,8,1,Artes y humanidades BJU
3212,Area 1,"Ciencias naturales, matematicas y Estadistica",Especialidad,BJU,2,1,0,"Ciencias naturales, matematicas y Estadistica BJU"
3213,Area 3,Ciencias sociales y derecho,Especialidad,BJU,1 009,644,405,Ciencias sociales y derecho BJU
3214,Area 4,Educacion,Especialidad,BJU,33,53,17,Educacion BJU
3215,Area 1,"Ingenieria, manufactura y construccion",Especialidad,BJU,29,18,15,"Ingenieria, manufactura y construccion BJU"
3216,Area 2,Salud,Especialidad,BJU,347,140,133,Salud BJU
3221,Area 4,Artes y humanidades,Maestria,BJU,126,58,53,Artes y humanidades BJU
3222,Area 1,"Ciencias naturales, matematicas y Estadistica",Maestria,BJU,20,5,8,"Ciencias naturales, matematicas y Estadistica BJU"
3223,Area 3,Ciencias sociales y derecho,Maestria,BJU,3048,1125,527,Ciencias sociales y derecho BJU
3224,Area 4,Educacion,Maestria,BJU,421,110,116,Educacion BJU
3225,Area 1,"Ingenieria, manufactura y construccion",Maestria,BJU,120,44,12,"Ingenieria, manufactura y construccion BJU"
3226,Area 2,Salud,Maestria,BJU,102,76,94,Salud BJU
3231,Area 4,Artes y humanidades,Doctorado,BJU,44,13,13,Artes y humanidades BJU
3232,Area 3,Ciencias sociales y derecho,Doctorado,BJU,269,46,24,Ciencias sociales y derecho BJU
3233,Area 4,Educacion,Doctorado,BJU,37,5,4,Educacion BJU
3234,Area 1,"Ingenieria, manufactura y construccion",Doctorado,BJU,8,0,0,"Ingenieria, manufactura y construccion BJU"
4211,Area 2,Agronomia y veterinaria,Especialidad,COY,58,0,54,Agronomia y veterinaria COY
4212,Area 4,Artes y humanidades,Especialidad,COY,59,27,44,Artes y humanidades COY
4213,Area 1,"Ciencias naturales, matematicas y Estadistica",Especialidad,COY,113,45,51,"Ciencias naturales, matematicas y Estadistica COY"
4214,Area 3,Ciencias sociales y derecho,Especialidad,COY,2285,267,840,Ciencias sociales y derecho COY
4215,Area 1,"Ingenieria, manufactura y construccion",Especialidad,COY,449,14,137,"Ingenieria, manufactura y construccion COY"
4216,Area 3,Servicios,Especialidad,COY,92,76,66,Servicios COY
4217,Area 2,Salud,Especialidad,COY,10179,38,3838,Salud COY
4221,Area 2,Agronomia y veterinaria,Maestria,COY,336,20,155,Agronomia y veterinaria COY
4222,Area 4,Artes y humanidades,Maestria,COY,955,56,360,Artes y humanidades COY
4223,Area 1,"Ciencias naturales, matematicas y Estadistica",Maestria,COY,2281,12,747,"Ciencias naturales, matematicas y Estadistica COY"
4224,Area 3,Ciencias sociales y derecho,Maestria,COY,4858,316,1612,Ciencias sociales y derecho COY
4225,Area 4,Educacion,Maestria,COY,752,34,242,Educacion COY
4226,Area 1,"Ingenieria, manufactura y construccion",Maestria,COY,1948,38,644,"Ingenieria, manufactura y construccion COY"
4227,Area 3,Servicios,Maestria,COY,26,39,39,Servicios COY
4228,Area 2,Salud,Maestria,COY,847,53,204,Salud COY
4231,Area 2,Agronomia y veterinaria,Doctorado,COY,157,0,14,Agronomia y veterinaria COY
4232,Area 4,Artes y humanidades,Doctorado,COY,952,6,124,Artes y humanidades COY
4233,Area 1,"Ciencias naturales, matematicas y Estadistica",Doctorado,COY,2261,12,367,"Ciencias naturales, matematicas y Estadistica COY"
4234,Area 3,Ciencias sociales y derecho,Doctorado,COY,1277,54,226,Ciencias sociales y derecho COY
4235,Area 4,Educacion,Doctorado,COY,140,0,28,Educacion COY
4236,Area 1,"Ingenieria, manufactura y construccion",Doctorado,COY,805,0,134,"Ingenieria, manufactura y construccion COY"
4237,Area 3,Servicios,Doctorado,COY,8,5,5,Servicios COY
4238,Area 2,Salud,Doctorado,COY,381,1,29,Salud COY
5211,Area 1,"Ciencias naturales, matematicas y Estadistica",Especialidad,CUJ,8,2,2,"Ciencias naturales, matematicas y Estadistica CUJ"
5212,Area 3,Ciencias sociales y derecho,Especialidad,CUJ,22,7,0,Ciencias sociales y derecho CUJ
5213,Area 2,Salud,Especialidad,CUJ,10,0,10,Salud CUJ
5221,Area 4,Artes y humanidades,Maestria,CUJ,113,14,9,Artes y humanidades CUJ
5222,Area 1,"Ciencias naturales, matematicas y Estadistica",Maestria,CUJ,42,6,3,"Ciencias naturales, matematicas y Estadistica CUJ"
5223,Area 3,Ciencias sociales y derecho,Maestria,CUJ,180,65,23,Ciencias sociales y derecho CUJ
5224,Area 4,Educacion,Maestria,CUJ,19,4,4,Educacion CUJ
5231,Area 1,"Ciencias naturales, matematicas y Estadistica",Doctorado,CUJ,34,1,1,"Ciencias naturales, matematicas y Estadistica CUJ"
5233,Area 3,Ciencias sociales y derecho,Doctorado,CUJ,108,30,7,Ciencias sociales y derecho CUJ
6211,Area 4,Artes y humanidades,Especialidad,CUH,85,54,34,Artes y humanidades CUH
6212,Area 1,"Ciencias naturales, matematicas y Estadistica",Especialidad,CUH,129,66,14,"Ciencias naturales, matematicas y Estadistica CUH"
6213,Area 3,Ciencias sociales y derecho,Especialidad,CUH,2036,970,304,Ciencias sociales y derecho CUH
6214,Area 4,Educacion,Especialidad,CUH,47,27,4,Educacion CUH
6215,Area 1,"Ingenieria, manufactura y construccion",Especialidad,CUH,25,29,1,"Ingenieria, manufactura y construccion CUH"
6216,Area 3,Servicios,Especialidad,CUH,1,15,15,Servicios CUH
6217,Area 2,Salud,Especialidad,CUH,458,207,209,Salud CUH
6221,Area 4,Artes y humanidades,Maestria,CUH,124,40,27,Artes y humanidades CUH
6222,Area 1,"Ciencias naturales, matematicas y Estadistica",Maestria,CUH,59,9,0,"Ciencias naturales, matematicas y Estadistica CUH"
6223,Area 3,Ciencias sociales y derecho,Maestria,CUH,4965,1428,754,Ciencias sociales y derecho CUH
6224,Area 4,Educacion,Maestria,CUH,397,238,157,Educacion CUH
6225,Area 1,"Ingenieria, manufactura y construccion",Maestria,CUH,77,25,10,"Ingenieria, manufactura y construccion CUH"
6226,Area 2,Salud,Maestria,CUH,37,8,4,Salud CUH
6231,Area 4,Artes y humanidades,Doctorado,CUH,10,1,3,Artes y humanidades CUH
6232,Area 3,Ciencias sociales y derecho,Doctorado,CUH,464,145,37,Ciencias sociales y derecho CUH
6233,Area 4,Educacion,Doctorado,CUH,129,66,17,Educacion CUH
7211,Area 1,"Ciencias naturales, matematicas y Estadistica",Especialidad,GAM,58,22,0,"Ciencias naturales, matematicas y Estadistica GAM"
7212,Area 3,Ciencias sociales y derecho,Especialidad,GAM,273,107,76,Ciencias sociales y derecho GAM
7213,Area 1,"Ingenieria, manufactura y construccion",Especialidad,GAM,5,0,0,"Ingenieria, manufactura y construccion GAM"
7214,Area 2,Salud,Especialidad,GAM,174,98,32,Salud GAM
7221,Area 4,Artes y humanidades,Maestria,GAM,13,5,0,Artes y humanidades GAM
7222,Area 1,"Ciencias naturales, matematicas y Estadistica",Maestria,GAM,806,63,268,"Ciencias naturales, matematicas y Estadistica GAM"
7223,Area 3,Ciencias sociales y derecho,Maestria,GAM,279,154,46,Ciencias sociales y derecho GAM
7224,Area 4,Educacion,Maestria,GAM,6,15,27,Educacion GAM
7225,Area 1,"Ingenieria, manufactura y construccion",Maestria,GAM,1053,253,387,"Ingenieria, manufactura y construccion GAM"
7226,Area 2,Salud,Maestria,GAM,60,32,19,Salud GAM
7231,Area 1,"Ciencias naturales, matematicas y Estadistica",Doctorado,GAM,828,22,157,"Ciencias naturales, matematicas y Estadistica GAM"
7232,Area 3,Ciencias sociales y derecho,Doctorado,GAM,63,12,25,Ciencias sociales y derecho GAM
7233,Area 1,"Ingenieria, manufactura y construccion",Doctorado,GAM,517,34,93,"Ingenieria, manufactura y construccion GAM"
7234,Area 2,Salud,Doctorado,GAM,8,0,0,Salud GAM
8211,Area 3,Ciencias sociales y derecho,Especialidad,IZC,10,1,2,Ciencias sociales y derecho IZC
8212,Area 4,Educacion,Especialidad,IZC,3,1,0,Educacion IZC
8221,Area 1,"Ciencias naturales, matematicas y Estadistica",Maestria,IZC,48,10,18,"Ciencias naturales, matematicas y Estadistica IZC"
8222,Area 3,Ciencias sociales y derecho,Maestria,IZC,167,52,66,Ciencias sociales y derecho IZC
8223,Area 1,"Ingenieria, manufactura y construccion",Maestria,IZC,116,48,66,"Ingenieria, manufactura y construccion IZC"
8224,Area 3,Servicios,Maestria,IZC,100,29,26,Servicios IZC
8231,Area 1,"Ingenieria, manufactura y construccion",Doctorado,IZC,17,3,0,"Ingenieria, manufactura y construccion IZC"
9211,Area 1,"Ciencias naturales, matematicas y Estadistica",Especialidad,IZP,3,0,0,"Ciencias naturales, matematicas y Estadistica IZP"
9212,Area 3,Ciencias sociales y derecho,Especialidad,IZP,316,112,7,Ciencias sociales y derecho IZP
9213,Area 4,Educacion,Especialidad,IZP,42,32,0,Educacion IZP
9214,Area 1,"Ingenieria, manufactura y construccion",Especialidad,IZP,30,13,6,"Ingenieria, manufactura y construccion IZP"
9215,Area 2,Salud,Especialidad,IZP,141,7,29,Salud IZP
9221,Area 2,Agronomia y veterinaria,Maestria,IZP,47,6,8,Agronomia y veterinaria IZP
9222,Area 4,Artes y humanidades,Maestria,IZP,158,27,31,Artes y humanidades IZP
9223,Area 1,"Ciencias naturales, matematicas y Estadistica",Maestria,IZP,282,57,54,"Ciencias naturales, matematicas y Estadistica IZP"
9224,Area 3,Ciencias sociales y derecho,Maestria,IZP,945,203,137,Ciencias sociales y derecho IZP
9225,Area 4,Educacion,Maestria,IZP,108,33,11,Educacion IZP
9226,Area 1,"Ingenieria, manufactura y construccion",Maestria,IZP,188,46,43,"Ingenieria, manufactura y construccion IZP"
9227,Area 2,Salud,Maestria,IZP,32,8,8,Salud IZP
9231,Area 4,Artes y humanidades,Doctorado,IZP,136,17,10,Artes y humanidades IZP
9232,Area 1,"Ciencias naturales, matematicas y Estadistica",Doctorado,IZP,344,44,31,"Ciencias naturales, matematicas y Estadistica IZP"
9233,Area 3,Ciencias sociales y derecho,Doctorado,IZP,298,24,23,Ciencias sociales y derecho IZP
9234,Area 1,"Ingenieria, manufactura y construccion",Doctorado,IZP,194,17,23,"Ingenieria, manufactura y construccion IZP"
9235,Area 2,Salud,Doctorado,IZP,29,3,3,Salud IZP
10221,Area 1,"Ciencias naturales, matematicas y Estadistica",Maestria,MAC,65,15,6,"Ciencias naturales, matematicas y Estadistica MAC"
10222,Area 3,Ciencias sociales y derecho,Maestria,MAC,709,310,228,Ciencias sociales y derecho MAC
10223,Area 4,Educacion,Maestria,MAC,188,70,24,Educacion MAC
10224,Area 1,"Ingenieria, manufactura y construccion",Maestria,MAC,52,35,18,"Ingenieria, manufactura y construccion MAC"
10231,Area 3,Ciencias sociales y derecho,Doctorado,MAC,1,0,0,Ciencias sociales y derecho MAC
11211,Area 4,Artes y humanidades,Especialidad,MIH,6,5,5,Artes y humanidades MIH
11212,Area 1,"Ciencias naturales, matematicas y Estadistica",Especialidad,MIH,6,0,0,"Ciencias naturales, matematicas y Estadistica MIH"
11213,Area 3,Ciencias sociales y derecho,Especialidad,MIH,98,75,46,Ciencias sociales y derecho MIH
11214,Area 4,Educacion,Especialidad,MIH,76,45,0,Educacion MIH
11215,Area 1,"Ingenieria, manufactura y construccion",Especialidad,MIH,73,58,19,"Ingenieria, manufactura y construccion MIH"
11216,Area 2,Salud,Especialidad,MIH,1460,612,376,Salud MIH
11221,Area 4,Artes y humanidades,Maestria,MIH,22,9,5,Artes y humanidades MIH
11222,Area 1,"Ciencias naturales, matematicas y Estadistica",Maestria,MIH,337,83,119,"Ciencias naturales, matematicas y Estadistica MIH"
11223,Area 3,Ciencias sociales y derecho,Maestria,MIH,1682,762,481,Ciencias sociales y derecho MIH
11224,Area 4,Educacion,Maestria,MIH,229,102,84,Educacion MIH
11225,Area 1,"Ingenieria, manufactura y construccion",Maestria,MIH,232,105,39,"Ingenieria, manufactura y construccion MIH"
11226,Area 2,Salud,Maestria,MIH,343,115,110,Salud MIH
11231,Area 3,Artes y humanidades,Doctorado,MIH,6,2,2,Artes y humanidades MIH
11232,Area 1,"Ciencias naturales, matematicas y Estadistica",Doctorado,MIH,153,29,29,"Ciencias naturales, matematicas y Estadistica MIH"
11233,Area 3,Ciencias sociales y derecho,Doctorado,MIH,158,60,68,Ciencias sociales y derecho MIH
11234,Area 4,Educacion,Doctorado,MIH,14,3,3,Educacion MIH
11235,Area 1,"Ingenieria, manufactura y construccion",Doctorado,MIH,188,38,31,"Ingenieria, manufactura y construccion MIH"
11236,Area 2,Salud,Doctorado,MIH,110,22,27,Salud MIH
12211,Area 2,Salud,Especialidad,MIL,2,6,0,Salud MIL
13221,Area 3,Ciencias sociales y derecho,Maestria,TLH,102,25,9,Ciencias sociales y derecho TLH
13222,Area 4,Educacion,Maestria,TLH,45,13,0,Educacion TLH
14211,Area 4,Artes y humanidades,Especialidad,TLP,4,0,0,Artes y humanidades TLP
14212,Area 1,"Ciencias naturales, matematicas y Estadistica",Especialidad,TLP,29,21,19,"Ciencias naturales, matematicas y Estadistica TLP"
14213,Area 3,Ciencias sociales y derecho,Especialidad,TLP,345,325,48,Ciencias sociales y derecho TLP
14214,Area 4,Educacion,Especialidad,TLP,0,5,0,Educacion TLP
14215,Area 2,Salud,Especialidad,TLP,997,271,570,Salud TLP
14221,Area 4,Artes y humanidades,Maestria,TLP,112,56,45,Artes y humanidades TLP
14222,Area 1,"Ciencias naturales, matematicas y Estadistica",Maestria,TLP,52,24,15,"Ciencias naturales, matematicas y Estadistica TLP"
14223,Area 3,Ciencias sociales y derecho,Maestria,TLP,1161,479,343,Ciencias sociales y derecho TLP
14224,Area 4,Educacion,Maestria,TLP,468,144,44,Educacion TLP
14225,Area 1,"Ingenieria, manufactura y construccion",Maestria,TLP,50,20,10,"Ingenieria, manufactura y construccion TLP"
14226,Area 2,Salud,Maestria,TLP,27,14,9,Salud TLP
14231,Area 4,Artes y humanidades,Doctorado,TLP,158,96,66,Artes y humanidades TLP
14232,Area 1,"Ciencias naturales, matematicas y Estadistica",Doctorado,TLP,43,0,17,"Ciencias naturales, matematicas y Estadistica TLP"
14233,Area 3,Ciencias sociales y derecho,Doctorado,TLP,324,102,40,Ciencias sociales y derecho TLP
14234,Area 4,Educacion,Doctorado,TLP,66,21,18,Educacion TLP
14235,Area 1,"Ingenieria, manufactura y construccion",Doctorado,TLP,18,1,1,"Ingenieria, manufactura y construccion TLP"
15221,Area 4,Educacion,Maestria,VCA,236,130,40,Educacion VCA
16211,Area 3,Ciencias sociales y derecho,Especialidad,XOC,40,13,12,Ciencias sociales y derecho XOC
16221,Area 3,Ciencias sociales y derecho,Maestria,XOC,73,28,17,Ciencias sociales y derecho XOC
